region_id,region_name,region_size,singings_with_location,dominant_state_province,dominant_country,state_province_counts,country_counts,centroid_latitude,centroid_longitude,sample_singings,name_anchor,name_basis
S011,California and Mountain West,12,12,CA,USA,CA:10; NM:1; AZ:1,USA:12,36.42991025,-120.77991575,All-California Sacred Harp Singing Convention | Rocky Mountain Sacred Harp Singing Convention | Los Angeles Regional Singing | Lunsford and Jolly Memorial Singing | Golden Gate Singing,All-California Sacred Harp Singing Convention,manual_anchor_singing
S012,"North-Central Alabama, Beasley-Keeton",15,15,AL,USA,AL:15,USA:15,33.95396,-87.513971,Shady Grove (Keeton Cemetery) | Friendship Primitive Baptist Church - April | Cornelius Benjamin Keeton and Travis Keeton Memorial Singing | Belton and Emma Beasley and Phillip Lee III Memorial Singing | Old Flatwoods Primitive Baptist Church,Shady Grove (Keeton Cemetery),manual_anchor_singing
S013,Huntsville and Middle Tennessee,14,14,AL,USA,AL:8; TN:6,USA:14,34.54008,-86.674134,Cotaco Convention | Harpeth Valley - Priestley Miller Memorial Singing | Huntsville Sacred Harp Singing | Gum Pond Decoration Day Singing | Gum Pond Primitive Baptist Church,Cotaco Convention,manual_anchor_singing
S014,"Ohio, Kentucky, Ontario, and Mid-Michigan",10,10,OH,USA,OH:5; MI:2; KY:1; ON:1,USA:8; Canada:1,40.377606,-84.104658,Kentucky State Sacred Harp Singing | Ohio State Convention | Cincinnati New Year's Singing | Central Ontario All-Day Singing | Yellow Springs,Kentucky State Sacred Harp Singing,manual_anchor_singing
S015,East-Central Alabama,8,8,AL,USA,AL:8,USA:8,33.0342325,-85.77850000000001,Boiling Springs Convention | H. R. Avery Memorial Singing | Mt. Zion Homecoming Singing | Smyrna Sacred Harp Singing | Auburn Sacred Harp Singing,Boiling Springs Convention,manual_anchor_singing
S016,Lower Northeast Alabama,5,5,AL,USA,AL:5,USA:5,34.060341,-86.288142,Alvis Brothers - B. I. Wood Memorial Singing | Mount Moriah Primitive Baptist Church | Warrior River - Clear Creek Convention | Gilliland and Brothers Memorial Singing | Liberty Hill Baptist Church,Alvis Brothers - B. I. Wood Memorial Singing,manual_anchor_singing
S017,Alabama-Georgia State Line and Sand Mountain,8,8,AL,USA,AL:6; GA:2,USA:8,34.558767,-85.628201,"State Line Church | Macedonia Primitive Baptist Church | Antioch Baptist Church | Cross Roads Church | Elder Homer Benefield, Katherine Benefield, and Mildred Johnson Memorial",State Line Church,manual_anchor_singing
S018,Mississippi,7,7,MS,USA,MS:7,USA:7,34.012582,-89.428958,Oxford City Hall | Mississippi State Convention | Taylor Singing | Bethel Primitive Baptist Church - Mississippi | Calhoun County Sacred Harp Musical Association,Oxford City Hall,manual_anchor_singing
S019,Indiana and Illinois,5,5,IN,USA,IN:3; IL:1,USA:4,39.470134,-86.481779,Illinois State Sacred Harp Convention | Higher Ground Singing | Bloomington Singing | Eldridge Schoolhouse Singing | Indiana State Fair Singing,Illinois State Sacred Harp Convention,manual_anchor_singing
S020,"Cleburne, Calhoun, and Heard Counties",7,7,AL,USA,AL:5; GA:2,USA:7,33.760935,-85.774964,Hopewell Primitive Baptist Church | Rogers Memorial Singing | Burnham and Brown Memorial | Calhoun County Convention | Oak Hill Baptist Church,Hopewell Primitive Baptist Church,manual_anchor_singing
S021,Pennsylvania,5,5,PA,USA,PA:5,USA:5,40.313191,-75.967691,Maidencreek All Day Singing | Exeter Singing | Keystone Sacred Harp Convention | Oliver Kindig-Stokes Memorial Singing | Central Pennsylvania Sacred Harp All-Day Singing,Maidencreek All Day Singing,manual_anchor_singing
S022,Lamar and Pickens Counties,12,12,AL,USA,AL:12,USA:12,33.737918,-87.1542565,"Mulberry River Convention | Lamar and Pickens Counties Convention | Sanders Memorial | Parker, Hollis, and Putman Memorial | Elmore Center Singing",Mulberry River Convention,manual_anchor_singing
S023,Carolinas,5,5,SC,USA,SC:3; NC:2,USA:5,34.957202,-82.43435,Pioneer Day Singing | South Carolina State Singing in Memory of William Walker | Swannanoa Gathering Shape Note Singing | Mountain Heritage Day Singing | Furman University Singing,Pioneer Day Singing,manual_anchor_singing
S024,"Cullman County, Alabama",11,11,AL,USA,AL:11,USA:11,34.145166,-87.053566,New Hope Church | Rock Creek-Mountain Home | Parker Family and Sherry Guthery Memorial Singing | Ryan Creek Convention | Vinemont Singing,New Hope Church,manual_anchor_singing
S025,Middle and South Georgia,6,6,GA,USA,GA:6,USA:6,32.807460000000006,-84.0506225,South Georgia Sacred Harp Singing Convention | Middle Georgia Sacred Harp Singing | Andrew's Chapel Singing | Mount Pisgah Primitive Baptist Church | Emmaus Primitive Baptist Church Singing - Thomaston,South Georgia Sacred Harp Singing Convention,manual_anchor_singing
S026,Texas,4,4,TX,USA,TX:4,USA:4,32.116679,-96.97801799999999,Texas State Convention | Dallas County Singing | William J. Reynolds Sacred Harp Singing | Baylor University Sacred Harp Singing,Texas State Convention,manual_anchor_singing
S027,"Walker County, Alabama",8,8,AL,USA,AL:8,USA:8,33.831141,-86.96852150000001,"Reid Memorial | Chafin, Harbinson, and Hollis Memorial | County Line Church | Moore, Graves, and Calvert Memorial | Walker County Convention",Reid Memorial,manual_anchor_singing
S028,Atlanta,5,5,GA,USA,GA:5,USA:5,33.782067,-84.325102,Seed and Feed Sacred Harp Singing | Jack Smith Memorial Singing | Emory Sacred Harp Singing | Spivey Hall Singing | Atlanta Sacred Harp Singing,Seed and Feed Sacred Harp Singing,manual_anchor_singing
S030,Australia,3,3,VIC,Australia,VIC:2; New South Wales:1,Australia:3,-36.256058499999995,147.894577,Victoria Sacred Harp Singing | Australian Sacred Harp Convention | Sydney Singing,Victoria Sacred Harp Singing,manual_anchor_singing
S033,Louisiana,4,4,LA,USA,LA:4,USA:4,30.004435,-90.044436,Louisiana State Sacred Harp Convention | Harry Eskew Sacred Harp Singing | New Orleans Baptist Theological Seminary Spring Singing | New Orleans Baptist Theological Seminary Fall Singing,Louisiana State Sacred Harp Convention,manual_anchor_singing
S038,Coastal Georgia and South Carolina,3,3,GA,USA,GA:2; SC:1,USA:3,32.778163,-81.078051,Piccolo Spoleto Sacred Harp Singing | Savannah Sacred Harp Singing | Augusta Sacred Harp Singing,Savannah Sacred Harp Singing,manual_anchor_singing
S039,Birmingham Area,2,2,AL,USA,AL:2,USA:2,34.624767500000004,-85.66177400000001,Barrett Patton's Christmas Singing | St. Joseph's On the Mountain Episcopal Church,Barrett Patton's Christmas Singing,manual_anchor_singing
S040,Central Alabama,2,2,AL,USA,AL:2,USA:2,32.36046,-86.2227795,Capitol City Shape Note Singing | Tri-County Sacred Harp Singing,Capitol City Shape Note Singing,manual_anchor_singing
S052,Northwest Arkansas,3,3,AR,USA,AR:3,USA:3,36.186748,-94.131894,"Northwest Arkansas Shiloh Singing, Fall Session | Northwest Arkansas Shiloh Singing, Spring Session | Shiloh Sacred Harp Singing","Northwest Arkansas Shiloh Singing, Spring Session",manual_anchor_singing
S053,Western Pennsylvania,2,2,PA,USA,PA:2,USA:2,41.298318,-80.2084215,Northwest Pennsylvania Singing | Pittsburgh Regional Sacred Harp Singing,Northwest Pennsylvania Singing,manual_anchor_singing
S058,Alaska,1,1,AK,USA,AK:1,USA:1,57.051485,-135.3325755,Alaska Sacred Harp Singing Convention,Alaska Sacred Harp Singing Convention,manual_anchor_singing
S065,Chattanooga,1,1,TN,USA,TN:1,USA:1,35.100554,-85.236131,Chattanooga Area Sacred Harp Singing,Chattanooga Area Sacred Harp Singing,manual_anchor_singing
S066,Society for American Music,1,1,PA,USA,PA:1,USA:1,42.350256,-90.048164,Conference for the Society of American Music,Conference for the Society of American Music,manual_anchor_singing
S067,Cork,1,1,Munster,Ireland,Munster:1,Ireland:1,51.892078,-8.468588,Cork Quaker House Singing,Cork Quaker House Singing,manual_anchor_singing
S068,Cornucopia,1,0,,,,,,,Cornucopia All-Night Singing,Cornucopia All-Night Singing,manual_anchor_singing
S069,Coweta County,1,1,GA,USA,GA:1,USA:1,33.369656,-84.798285,Coweta County Courthouse Singing,Coweta County Courthouse Singing,manual_anchor_singing
S071,"Darien, Alabama",1,1,AL,USA,AL:1,USA:1,33.059767,-85.602921,Darien Primitive Baptist Church Homecoming and Singing,Darien Primitive Baptist Church Homecoming and Singing,manual_anchor_singing
S073,Duke Memorial,1,1,GA,USA,GA:1,USA:1,33.391963,-85.115294,Duke Memorial Singing,Duke Memorial Singing,manual_anchor_singing
S074,Duluth,1,1,MN,USA,MN:1,USA:1,46.804739,-92.076468,Duluth Singing,Duluth Singing,manual_anchor_singing
S078,Feast and FaSoLa,1,1,IL,USA,IL:1,USA:1,40.337624,-89.459317,Feast and FaSoLa,Feast and FaSoLa,manual_anchor_singing
S081,Houston,1,1,TX,USA,TX:1,USA:1,29.799701,-95.396909,Houston Sacred Harp Singing Convention,Houston Sacred Harp Singing Convention,manual_anchor_singing
S088,Jordan's Chapel,1,1,AL,USA,AL:1,USA:1,33.457472,-85.497258,Jordan's Chapel Methodist Church,Jordan's Chapel Methodist Church,manual_anchor_singing
S089,Kitchens Memorial,1,1,AL,USA,AL:1,USA:1,33.835992,-87.259882,Kitchens Memorial,Kitchens Memorial,manual_anchor_singing
S090,"Empire, Alabama",1,1,AL,USA,AL:1,USA:1,33.815995,-86.983168,Little Vine Primitive Baptist Church - Empire,Little Vine Primitive Baptist Church - Empire,manual_anchor_singing
S092,Marian Bush Memorial,1,1,CA,USA,CA:1,USA:1,37.419359,-122.11235,Marian Bush Memorial Singing,Marian Bush Memorial Singing,manual_anchor_singing
S093,Memphis,1,1,TN,USA,TN:1,USA:1,35.153911,-89.911005,Memphis Singing,Memphis Singing,manual_anchor_singing
S094,Mississippi College,1,1,MS,USA,MS:1,USA:1,32.334504,-90.330444,Mississippi College,Mississippi College,manual_anchor_singing
S096,East Atlanta,2,2,GA,USA,GA:2,USA:2,33.830800999999994,-84.045992,Haynes Creek Church Singing | Mountain Park United Methodist Church,Haynes Creek Church Singing,manual_anchor_singing
S097,"Mountain View, Arkansas",1,1,AR,USA,AR:1,USA:1,35.880721,-92.117112,Mountain View Shape Note Gathering,Mountain View Shape Note Gathering,manual_anchor_singing
S098,Mt. Zion Primitive Baptist,1,1,AL,USA,AL:1,USA:1,33.238271,-85.888454,Mt. Zion Primitive Baptist Church,Mt. Zion Primitive Baptist Church,manual_anchor_singing
S102,"New Providence, Louisiana",1,1,LA,USA,LA:1,USA:1,32.329985,-93.258036,New Providence Primitive Baptist Church,New Providence Primitive Baptist Church,manual_anchor_singing
S103,New Year's Eve Singing,1,1,GA,USA,GA:1,USA:1,34.154792,-83.325485,New Year's Eve Singing,New Year's Eve Singing,manual_anchor_singing
S104,Newton County,1,1,GA,USA,GA:1,USA:1,33.548952,-83.68608,Newton County Singing,Newton County Singing,manual_anchor_singing
S105,North Carolina,1,1,NC,USA,NC:1,USA:1,35.788714,-78.779455,North Carolina Sacred Harp Convention,North Carolina Sacred Harp Convention,manual_anchor_singing
S106,Northern California,1,1,CA,USA,CA:1,USA:1,36.969452,-122.027683,Northern California Regional Sacred Harp Singing,Northern California Regional Sacred Harp Singing,manual_anchor_singing
S107,Norumbega,1,1,MA,USA,MA:1,USA:1,42.329798,-71.168018,Norumbega Harmony Singing,Norumbega Harmony Singing,manual_anchor_singing
S108,Old Songs,1,1,NY,USA,NY:1,USA:1,42.697754,-74.025388,Old Songs Book Singing,Old Songs Book Singing,manual_anchor_singing
S110,Pacific Northwest Convention,1,1,OR,USA,OR:1,USA:1,46.5823885,-122.553015,Pacific Northwest Convention,Pacific Northwest Convention,manual_anchor_singing
S114,Pikes Peak,1,1,CO,USA,CO:1,USA:1,38.795744,-104.843834,Pikes Peak Sacred Harp Singing,Pikes Peak Sacred Harp Singing,manual_anchor_singing
S115,Pratt-Woodard Memorial,1,1,AL,USA,AL:1,USA:1,34.144303,-87.257268,Pratt-Woodard Memorial Singing,Pratt-Woodard Memorial Singing,manual_anchor_singing
S116,Colorado Rockies,1,1,CO,USA,CO:1,USA:1,39.758201,-105.03789,"Rocky Mountain Convention, Colorado Session","Rocky Mountain Convention, Colorado Session",manual_anchor_singing
S119,Sardis On the River,1,1,AL,USA,AL:1,USA:1,33.79887,-87.146588,Sardis On the River,Sardis On the River,manual_anchor_singing
S124,Velton Chafin Memorial,1,1,AL,USA,AL:1,USA:1,33.737918,-87.010312,Velton Chafin Memorial Singing,Velton Chafin Memorial Singing,manual_anchor_singing
